timestamp,symbol,direction,entry_price,sl_price,tp_price,outcome,candles_to_outcome,score,grade,choch_detected,mss_structure,primary_pattern,price_zone,momentum,bb_position,volume_ratio,rsi_value
2026-04-20T04:45:15.236476+00:00,DOTUSDT,BEARISH,1.261,1.2799149999999997,1.2231699999999999,LOSS,10,71,VALID,False,RANGING,BEARISH_MARUBOZU,PREMIUM,NEUTRAL,upper_half,0.0,61.92
2026-04-20T04:45:18.120497+00:00,ATOMUSDT,BEARISH,1.776,1.8026399999999998,1.72272,LOSS,45,76,VALID,False,UNDEFINED,BEARISH_MARUBOZU,PREMIUM,BEARISH,upper_half,0.0,51.33
2026-04-20T06:45:07.847178+00:00,ETHUSDT,BEARISH,2283.24,2317.4885999999997,2214.7427999999995,LOSS,2,55,WEAK,False,RANGING,BEARISH_MARUBOZU,PREMIUM,BULLISH,upper_half,0.01,63.13
2026-04-20T15:00:07.565251+00:00,ETHUSDT,BULLISH,2290.72,2256.3592,2359.4415999999997,PENDING,97,55,WEAK,True,BULLISH,BULLISH_MARUBOZU,DISCOUNT,STRONG_BEARISH,below_lower,0.01,32.94
2026-04-20T15:15:16.346090+00:00,UNIUSDT,BULLISH,3.211,3.162835,3.30733,PENDING,97,63,WEAK,False,BEARISH,BEARISH_PIN_BAR,DISCOUNT,STRONG_BEARISH,below_lower,0.03,25.17
2026-04-20T15:30:10.295409+00:00,XRPUSDT,BEARISH,1.4316,1.4530739999999998,1.388652,PENDING,97,67,WEAK,False,RANGING,BEARISH_MARUBOZU,PREMIUM,NEUTRAL,upper_half,0.06,63.28
2026-04-20T16:15:16.801961+00:00,UNIUSDT,BEARISH,3.235,3.2835249999999996,3.1379499999999996,LOSS,7,67,WEAK,False,UNDEFINED,BEARISH_MARUBOZU,EQUILIBRIUM,BEARISH,lower_half,0.0,43.46
2026-04-20T17:00:17.822393+00:00,UNIUSDT,BULLISH,3.225,3.176625,3.32175,PENDING,97,59,WEAK,False,UNDEFINED,BEARISH_PIN_BAR,DISCOUNT,BEARISH,lower_half,0.02,38.29
2026-04-20T19:30:16.309224+00:00,UNIUSDT,BEARISH,3.255,3.303825,3.1573499999999997,PENDING,97,59,WEAK,False,UNDEFINED,BEARISH_PIN_BAR,PREMIUM,BEARISH,upper_half,0.0,47.76
2026-04-20T19:45:16.858113+00:00,UNIUSDT,BEARISH,3.255,3.303825,3.1573499999999997,PENDING,97,55,WEAK,False,UNDEFINED,,PREMIUM,BEARISH,upper_half,0.0,47.76
2026-04-20T23:30:07.098233+00:00,BTCUSDT,BULLISH,75643.3,74508.6505,77912.599,PENDING,97,65,WEAK,True,BULLISH,BULLISH_MARUBOZU,DISCOUNT,BEARISH,lower_half,0.01,31.64
2026-04-20T23:30:16.702496+00:00,LINKUSDT,BULLISH,9.27,9.13095,9.5481,PENDING,97,58,WEAK,True,BULLISH,BULLISH_MARUBOZU,DISCOUNT,STRONG_BEARISH,below_lower,0.02,31.22
2026-04-20T23:45:14.503426+00:00,AVAXUSDT,BULLISH,9.28,9.140799999999999,9.558399999999999,PENDING,97,60,WEAK,True,BULLISH,BULLISH_MARUBOZU,DISCOUNT,NEUTRAL,lower_half,0.02,30.57
2026-04-21T13:30:18.424280+00:00,ATOMUSDT,BEARISH,1.792,1.8188799999999998,1.73824,LOSS,7,56,WEAK,False,UNDEFINED,INSIDE_BAR,EQUILIBRIUM,STRONG_BEARISH,lower_half,0.04,37.54
2026-04-21T14:15:18.494123+00:00,ATOMUSDT,BULLISH,1.792,1.76512,1.84576,WIN,38,62,WEAK,False,RANGING,BULLISH_MARUBOZU,EQUILIBRIUM,NEUTRAL,lower_half,0.0,37.48
2026-04-21T15:00:06.726275+00:00,BTCUSDT,BULLISH,75695.6,74560.16600000001,77966.46800000001,WIN,57,76,VALID,False,BEARISH,BULLISH_MARUBOZU,DISCOUNT,NEUTRAL,lower_half,0.03,39.72
2026-04-21T16:30:19.034661+00:00,ATOMUSDT,BEARISH,1.819,1.8462849999999997,1.76443,LOSS,30,58,WEAK,False,RANGING,BEARISH_PIN_BAR,PREMIUM,BEARISH,upper_half,0.0,56.5
2026-04-21T17:00:22.917746+00:00,ETCUSDT,BULLISH,8.401,8.274985,8.65303,WIN,50,59,WEAK,False,RANGING,BULLISH_PIN_BAR,DISCOUNT,BEARISH,lower_half,0.36,29.96
2026-04-21T17:15:20.297410+00:00,ATOMUSDT,BEARISH,1.815,1.8422249999999998,1.7605499999999998,LOSS,26,61,WEAK,False,RANGING,,PREMIUM,BEARISH,upper_half,0.0,50.65
2026-04-21T17:30:18.306143+00:00,ATOMUSDT,BEARISH,1.804,1.83106,1.74988,LOSS,17,62,WEAK,False,RANGING,BEARISH_PIN_BAR,EQUILIBRIUM,STRONG_BEARISH,lower_half,0.01,38.56
